302 19747
21 300 49
298 42 15
205 207 1
80 116 25
65 233 1
69 224 43
98 173 6
60 29 47
290 190 35
179 97 33
187 175 5
280 69 23
96 122 35
70 37 41
235 72 8
252 20 35
270 228 12
261 119 36
130 267 46
246 202 1
65 252 27
198 227 44
195 44 30
189 47 6
121 126 25
119 302 8
35 188 36
225 162 28
100 134 15
134 38 13
87 241 48
298 210 37
98 290 19
53 169 1
207 137 11
157 231 41
99 11 27
33 49 22
224 94 37
242 102 49
79 179 37
21 242 26
239 272 37
32 300 29
136 7 13
6 116 41
135 58 17
80 203 31
33 195 37
148 109 33
205 179 14
103 215 37
204 65 36
206 228 36
254 300 18
133 3 29
174 100 35
274 122 5
74 201 46
11 261 37
55 120 49
46 141 31
48 23 47
152 202 15
180 294 46
192 227 13
242 281 48
225 216 47
14 104 32
56 7 26
242 44 33
238 233 18
125 210 5
262 83 41
240 68 40
47 176 37
255 178 7
16 244 46
215 108 41
128 54 20
44 123 45
180 120 41
273 196 39
90 169 46
257 201 42
248 173 34
73 151 23
50 183 43
62 302 32
254 206 29
192 271 38
155 25 28
151 299 30
36 29 17
1 255 24
268 235 44
265 289 9
181 271 11
2 289 50
144 95 45
127 26 16
106 203 21
200 11 49
263 93 10
197 218 25
190 13 44
296 46 50
147 227 42
62 136 34
16 297 37
262 283 46
154 177 37
121 36 27
27 216 5
9 188 15
224 77 30
80 260 15
180 255 4
273 206 1
258 107 3
192 64 3
139 112 33
265 3 49
224 183 36
232 74 24
92 128 43
76 180 33
150 225 49
54 157 40
8 34 24
302 266 36
8 53 28
3 297 22
189 133 6
26 165 30
97 212 10
282 214 41
293 252 16
193 55 3
93 117 28
234 138 15
208 245 8
172 274 14
221 183 33
191 175 36
117 265 7
157 282 23
226 265 50
212 11 15
42 66 9
276 162 4
293 93 24
131 130 7
245 35 32
93 107 39
55 147 1
65 228 19
18 124 31
29 104 17
100 172 22
93 153 16
103 1 11
26 110 39
2 87 49
68 209 18
129 187 17
144 128 30
148 104 21
156 69 30
134 68 2
297 109 6
155 202 29
5 244 18
150 217 41
59 213 32
236 286 13
51 176 39
186 226 16
192 102 10
239 87 1
60 61 7
133 203 34
205 126 19
290 77 28
124 115 27
130 25 6
210 38 6
74 189 41
53 240 39
259 245 34
4 43 25
94 280 34
166 295 46
277 288 24
60 63 16
255 89 14
239 143 47
181 115 20
166 25 30
94 301 41
9 201 5
82 207 39
28 246 45
102 153 29
269 54 31
191 190 5
208 104 34
119 98 8
294 222 17
204 76 47
150 48 19
261 264 35
82 97 50
205 163 20
144 276 31
125 143 7
3 86 23
12 278 5
195 27 23
92 184 43
284 231 10
142 143 7
49 80 37
157 40 33
251 294 20
105 23 4
97 90 16
235 188 39
28 180 6
143 288 24
240 8 47
142 182 29
22 2 41
28 2 27
116 43 13
73 168 37
38 83 47
250 80 16
272 33 39
29 105 32
66 209 11
192 3 50
246 52 23
255 104 40
9 3 20
83 99 45
100 238 19
230 80 13
1 294 26
141 158 15
298 285 10
35 183 39
206 60 3
70 40 45
28 137 15
301 89 16
120 256 16
280 192 7
60 287 48
109 151 44
119 2 50
164 54 1
265 239 39
299 295 32
237 153 50
171 290 34
140 155 31
67 189 2
51 99 28
273 302 28
93 189 24
9 139 12
69 55 38
259 147 37
301 66 1
223 278 31
205 28 8
212 195 49
157 238 1
148 32 16
168 115 37
264 201 8
164 211 19
275 290 38
62 3 47
59 5 32
260 259 20
12 34 13
213 134 42
218 152 28
231 135 26
213 134 27
262 49 5
108 282 12
274 244 8
22 172 34
172 75 23
13 141 39
169 224 47
207 245 3
218 184 49
32 244 12
221 50 40
53 167 44
47 98 25
94 157 41
175 246 10
114 111 1
161 87 2
8 293 11
154 257 12
27 106 2
191 161 47
121 167 36
259 294 27
258 40 25
217 221 20
70 69 4
29 67 40
232 78 12
130 288 29
114 298 27
198 195 34
85 194 31
76 177 33
152 242 32
96 240 6
281 228 17
252 205 46
259 149 26
109 277 49
206 171 39
183 197 49
235 213 25
131 260 29
276 4 11
108 174 7
181 242 49
278 187 5
206 126 44
70 196 26
26 203 42
255 160 22
31 24 2
168 188 41
117 141 15
202 285 29
201 269 13
255 21 11
135 33 49
177 270 44
111 29 24
102 119 9
177 218 40
73 30 14
64 229 50
57 288 14
1 299 16
188 213 28
268 195 13
81 218 2
224 97 4
21 128 37
175 185 20
152 239 48
109 86 17
54 91 22
283 100 6
155 81 7
122 210 47
210 27 25
77 13 25
208 116 37
258 249 47
277 74 29
161 137 18
228 140 23
197 228 50
147 171 31
60 157 40
50 220 30
159 82 48
142 231 36
129 149 21
196 203 50
2 276 37
108 90 19
101 182 1
120 106 37
18 233 39
130 125 7
298 20 6
163 59 32
162 279 31
108 233 3
93 233 39
244 218 1
77 17 48
214 145 34
246 145 28
142 35 3
129 254 28
277 125 32
12 213 14
132 61 2
92 30 23
65 54 2
56 29 23
237 1 19
3 66 13
181 282 24
14 277 13
56 153 47
194 74 17
69 248 41
