1000 8705 
1 99 1
1 123 1
1 157 172
1 164 51
1 186 155
1 284 99
1 407 100
1 551 193
1 587 100
1 663 131
1 822 188
1 947 86
2 34 165
2 100 1
2 124 1
2 296 54
2 345 93
2 438 125
2 613 120
2 631 174
2 768 108
2 845 114
2 897 128
2 1000 154
3 70 64
3 101 1
3 125 1
3 129 78
3 150 99
3 655 144
3 700 154
4 75 171
4 102 1
4 123 50
4 126 1
4 240 151
4 831 137
4 967 85
5 103 1
5 127 1
5 131 62
5 508 184
5 540 199
5 573 62
5 587 61
5 623 58
5 731 51
5 822 142
6 104 1
6 128 1
6 499 155
6 592 140
6 622 81
6 747 69
7 105 1
7 129 1
7 137 158
7 154 51
7 369 129
7 486 56
7 694 63
7 730 59
7 857 103
8 77 61
8 106 1
8 130 1
8 132 115
8 138 179
8 179 127
8 284 132
8 493 111
8 658 171
8 793 86
8 826 109
8 920 161
8 990 69
9 107 1
9 131 1
9 247 52
9 276 144
9 345 189
9 372 77
9 436 105
9 835 70
9 853 90
10 108 1
10 132 1
10 187 73
10 215 199
10 375 144
10 421 188
10 485 167
10 660 135
10 714 123
10 962 108
11 5 67
11 109 1
11 133 1
11 170 163
11 263 130
11 376 166
11 419 188
11 457 148
11 469 66
11 743 167
11 761 50
11 771 75
11 883 76
12 110 1
12 134 1
12 191 191
12 393 142
12 733 165
13 111 1
13 135 1
13 387 116
13 528 151
13 545 109
13 572 162
13 610 62
13 627 187
13 737 78
13 843 197
14 56 181
14 112 1
14 130 191
14 136 1
14 176 132
14 301 200
14 427 161
14 477 81
14 517 135
14 542 154
14 575 190
14 589 96
14 688 195
14 782 192
14 873 90
15 38 147
15 102 186
15 113 1
15 137 1
15 152 147
15 161 107
15 326 110
15 337 102
15 448 165
15 578 82
15 595 104
15 992 52
16 65 180
16 114 1
16 138 1
16 169 100
16 661 176
16 778 192
16 843 68
16 886 143
17 47 133
17 115 1
17 139 1
17 379 70
17 407 176
17 419 183
17 591 154
18 81 69
18 116 1
18 132 181
18 140 1
18 156 127
18 183 133
18 367 84
18 368 90
18 438 80
18 492 166
18 599 128
18 766 110
18 789 155
18 817 54
18 883 140
18 884 144
19 100 142
19 117 1
19 141 1
19 289 124
19 341 141
19 397 67
19 516 97
19 568 129
19 683 132
19 735 157
19 764 75
19 987 188
20 118 1
20 142 1
20 273 124
20 380 62
20 403 101
20 618 72
20 624 62
20 930 93
21 119 1
21 141 166
21 143 1
21 194 120
21 505 154
21 652 199
21 759 93
21 807 177
21 839 169
21 872 171
22 51 78
22 120 1
22 144 1
22 321 190
22 520 147
22 729 63
22 738 52
22 969 181
22 977 72
22 988 189
23 121 1
23 145 1
23 168 125
23 173 149
23 269 145
23 319 114
23 342 172
23 395 194
23 554 107
23 609 196
23 760 164
23 792 119
23 873 163
23 968 184
24 76 193
24 98 52
24 122 1
24 146 1
24 205 58
24 242 54
24 263 72
24 595 172
24 962 82
25 99 1
25 161 57
25 202 83
25 226 175
25 325 106
25 339 52
25 463 115
25 513 58
25 628 68
25 655 198
26 65 158
26 100 1
26 101 1
26 301 90
26 316 127
26 319 123
26 651 111
26 652 81
26 953 53
27 102 1
27 103 1
27 547 139
27 754 156
27 876 135
27 914 50
28 104 1
28 105 1
28 164 72
28 391 157
28 510 135
28 549 63
28 618 133
28 928 152
29 37 182
29 69 138
29 80 105
29 106 1
29 107 1
29 162 105
29 266 131
29 278 177
29 417 164
29 496 122
29 563 168
29 673 158
29 884 111
29 989 78
30 48 144
30 53 94
30 81 72
30 106 122
30 108 1
30 109 1
30 214 90
30 370 89
30 579 51
30 627 76
30 794 172
30 921 133
30 927 55
30 956 199
31 1 68
31 110 1
31 111 1
31 423 157
31 453 153
31 591 80
31 722 51
31 744 69
32 112 1
32 113 1
32 198 159
32 239 183
32 322 157
32 460 105
32 511 157
32 620 139
32 742 101
32 752 146
32 777 135
32 819 180
32 855 119
32 872 91
32 969 187
33 114 1
33 115 1
33 293 162
33 340 115
33 554 183
33 618 58
33 661 137
33 795 117
34 116 1
34 117 1
34 229 170
34 640 162
34 894 185
34 938 51
35 118 1
35 119 1
35 162 82
35 427 188
35 447 165
35 539 152
35 614 168
35 620 171
35 762 151
35 993 144
36 68 190
36 120 1
36 121 1
36 214 190
36 367 62
36 505 75
36 580 86
36 869 53
36 927 102
37 21 86
37 67 119
37 75 143
37 122 1
37 186 150
37 249 158
37 468 135
37 474 163
37 541 187
37 746 87
38 48 132
38 205 60
38 481 66
38 560 97
38 622 77
38 758 105
38 838 71
39 218 102
39 373 131
39 436 187
39 621 100
39 631 74
39 647 136
39 724 169
39 731 161
39 981 151
40 46 180
40 116 117
40 225 169
40 276 81
40 284 101
40 438 134
40 817 127
40 928 186
40 963 147
40 995 93
41 400 152
41 518 128
41 754 155
41 798 178
41 889 142
42 89 189
42 248 105
42 264 157
42 319 123
42 522 54
42 553 90
42 861 60
42 929 181
42 964 99
43 22 121
43 49 184
43 233 74
43 456 91
43 507 184
43 551 101
43 647 160
43 683 170
43 697 168
43 741 157
43 746 146
43 830 126
43 831 122
43 961 184
44 25 64
44 169 146
44 748 86
44 811 94
44 992 54
45 33 103
45 142 170
45 227 193
45 233 151
45 258 90
45 268 108
45 297 87
45 380 179
45 545 92
45 650 118
45 804 64
45 819 188
45 848 131
45 972 83
46 170 74
46 181 77
46 248 150
46 268 196
46 437 151
46 549 121
46 631 91
46 698 153
46 913 131
46 992 196
47 6 121
47 93 110
47 167 162
47 213 178
47 425 70
47 575 153
47 709 62
47 795 81
48 313 180
48 363 97
48 385 59
48 529 104
48 652 195
48 808 176
48 834 66
48 880 89
48 934 87
48 949 141
49 47 74
49 177 156
49 364 172
49 413 180
49 751 188
49 799 157
49 812 101
49 901 163
50 220 149
50 255 192
50 315 172
50 318 199
50 360 121
50 454 84
50 492 186
50 533 104
50 567 159
50 823 68
50 827 107
50 950 183
51 25 192
51 324 67
51 367 198
51 536 126
51 606 51
51 672 148
51 735 101
51 793 61
51 819 84
51 841 148
51 905 63
51 958 186
52 49 163
52 108 78
52 373 51
52 689 122
52 784 169
52 840 58
52 847 140
53 32 122
53 57 63
53 97 164
53 171 161
53 434 151
53 641 92
53 779 97
54 23 100
54 103 129
54 404 179
54 454 130
54 671 174
54 771 51
54 794 120
54 947 56
55 13 118
55 14 180
55 33 85
55 71 131
55 76 179
55 222 101
55 250 179
55 284 115
55 324 110
55 332 144
55 565 188
55 616 115
55 714 199
55 805 99
55 882 155
56 393 72
56 458 58
56 459 65
56 519 54
56 561 65
56 624 144
56 788 89
57 18 136
57 151 156
57 473 121
57 474 145
57 647 197
57 813 59
57 916 186
58 34 78
58 91 60
58 201 132
58 386 135
58 513 63
58 539 133
58 584 183
58 668 184
58 760 56
59 51 142
59 68 156
59 293 53
59 295 111
59 310 106
59 416 188
59 468 96
59 600 70
59 607 117
59 650 188
59 678 81
59 814 117
59 850 52
59 885 189
60 37 147
60 107 105
60 574 122
60 671 126
60 786 66
60 823 88
60 848 75
60 928 159
61 46 130
61 107 52
61 114 111
61 138 137
61 180 77
61 278 137
61 476 113
61 791 112
61 926 65
62 57 109
62 69 71
62 98 50
62 146 84
62 191 130
62 263 166
62 589 140
62 787 74
63 7 128
63 312 196
63 559 71
63 602 173
63 629 191
63 640 167
63 722 184
64 223 170
64 332 91
64 630 56
64 707 130
64 709 50
64 862 113
65 356 198
65 411 68
65 455 161
65 528 58
65 548 62
65 569 76
65 574 170
65 785 188
65 848 148
65 989 159
66 546 93
66 667 171
66 730 93
66 835 104
66 867 124
67 110 183
67 236 96
67 307 96
67 358 75
67 495 167
67 552 130
67 662 97
67 895 196
67 899 90
67 956 199
68 29 149
68 75 159
68 465 192
