1000 5000
496 746 36
731 974 19
811 36 5
93 254 16
473 619 17
369 670 2
597 287 37
589 736 25
265 805 48
554 67 1
242 963 50
66 421 12
141 637 44
404 493 5
828 938 37
680 650 38
485 672 24
166 889 3
130 107 31
74 990 40
107 844 11
441 534 41
523 654 44
537 998 42
890 441 21
678 65 22
829 724 9
594 754 28
366 830 4
611 523 48
31 209 16
82 9 28
773 42 49
304 308 38
227 289 3
401 570 36
737 967 4
918 984 34
212 903 31
120 127 13
26 86 2
206 672 49
285 529 50
271 180 13
465 755 47
82 219 17
741 829 9
569 340 17
301 645 24
826 730 39
691 720 38
4 438 18
316 931 29
17 412 42
328 811 8
643 691 50
498 265 33
957 793 29
81 963 33
118 363 23
894 59 35
175 184 26
83 573 3
720 296 22
546 891 11
251 104 16
663 829 42
546 256 18
568 876 17
101 908 23
793 436 34
868 462 24
687 715 41
306 179 11
310 466 15
47 128 26
805 767 5
776 331 5
405 889 42
128 197 35
813 702 22
377 19 33
96 429 35
948 763 1
795 317 1
153 799 14
387 763 18
389 457 35
691 804 46
60 628 41
886 90 4
310 800 6
532 805 48
261 246 29
677 968 7
108 621 50
317 617 6
387 561 39
380 53 22
824 330 21
786 681 12
456 912 13
94 836 17
267 343 41
147 254 42
793 617 27
358 237 17
190 884 28
339 254 26
379 895 20
553 829 12
473 41 6
959 635 2
790 91 8
162 971 7
469 996 49
667 881 32
944 627 9
185 291 7
4 342 30
883 809 15
842 674 19
531 654 1
663 691 1
978 668 2
255 89 38
213 459 29
882 54 27
972 615 13
490 439 31
474 814 7
254 860 44
414 858 7
9 991 41
978 147 40
559 958 6
715 904 39
694 235 3
188 414 37
118 619 9
760 587 6
254 719 24
342 24 12
214 385 13
844 93 32
453 312 45
315 172 29
688 42 17
874 53 31
778 754 1
241 445 18
79 325 2
266 217 22
356 211 30
623 910 26
24 966 16
302 816 10
657 708 27
143 101 34
313 697 43
576 962 20
961 278 36
793 855 11
745 75 44
871 916 13
783 549 18
799 529 42
633 389 12
400 127 17
255 669 42
134 882 28
973 606 23
540 1 32
389 254 13
116 677 27
632 402 3
272 586 14
246 927 35
64 430 29
728 17 29
916 818 30
686 129 18
749 762 48
672 707 8
751 649 47
704 839 50
202 809 12
968 629 5
873 416 16
186 264 41
126 405 25
389 973 12
734 625 49
563 477 5
473 584 27
417 764 38
861 333 1
711 733 42
325 618 46
575 846 36
25 900 42
833 561 40
267 851 21
864 803 1
209 389 24
818 130 49
870 543 42
542 170 8
726 502 26
42 63 16
47 128 23
361 223 26
543 984 29
381 749 27
59 560 17
880 991 11
334 127 41
630 40 14
897 931 27
412 33 29
189 669 37
494 377 45
895 962 2
735 414 29
472 199 7
802 692 11
214 854 25
589 1 36
741 73 7
450 338 23
616 2 8
230 768 30
864 821 1
420 506 16
430 568 17
840 670 6
823 376 42
441 733 24
537 829 9
972 486 13
500 373 2
356 885 44
877 470 7
101 98 15
3 844 37
61 742 24
270 472 5
845 272 48
828 527 24
154 82 10
3 65 20
410 951 1
394 265 37
225 97 44
482 418 11
292 281 14
26 840 22
863 609 6
574 873 22
245 325 35
814 413 47
471 955 1
867 290 47
213 392 36
69 574 2
845 659 47
11 226 26
794 158 24
270 319 31
365 959 11
109 115 30
154 700 4
838 153 33
785 600 6
255 745 35
934 577 36
961 71 27
945 159 20
700 797 4
555 507 42
293 452 23
930 675 35
862 763 8
854 599 2
107 606 42
697 314 32
922 98 22
107 819 7
118 960 36
148 888 46
773 132 17
152 392 16
870 618 22
786 310 50
225 111 37
800 234 30
259 488 26
336 849 9
905 947 15
889 118 40
191 286 23
48 260 27
652 821 33
646 236 9
160 811 14
100 334 16
896 30 19
971 782 9
609 897 48
582 403 47
204 995 22
837 951 13
83 158 4
946 481 23
463 630 8
591 579 13
879 267 9
74 578 16
883 670 5
347 407 49
646 740 34
201 656 30
433 809 31
174 397 31
426 391 49
845 241 49
558 567 2
944 836 49
219 798 18
688 603 21
683 13 47
887 791 2
288 912 4
380 284 32
936 814 48
621 352 21
127 63 2
218 436 1
532 816 5
536 576 22
264 992 12
147 870 6
298 425 36
987 44 14
790 574 8
403 421 27
490 24 11
744 561 46
752 7 40
124 148 18
531 771 9
607 325 41
598 829 41
955 237 42
943 857 42
622 99 2
181 809 14
952 266 16
772 976 49
394 428 16
503 316 34
229 744 5
834 706 26
734 811 11
469 805 2
955 41 31
731 518 43
56 494 2
483 556 16
597 849 12
820 231 36
709 467 49
964 591 40
446 241 24
661 696 13
269 626 4
5 479 39
929 889 38
42 350 24
780 340 7
594 205 41
260 158 33
286 690 2
316 501 35
450 582 2
450 545 6
948 552 47
966 696 28
32 118 3
907 90 12
281 617 19
823 451 49
352 425 14
298 205 21
580 346 32
885 183 6
312 659 31
501 8 8
864 53 50
65 208 37
949 690 21
20 215 9
870 238 43
995 131 26
187 980 23
354 277 27
620 388 36
643 553 3
683 655 26
236 339 19
940 858 46
983 259 6
36 261 29
312 475 29
346 901 49
568 749 50
542 238 21
117 112 31
342 776 34
940 899 38
47 803 33
412 583 36
392 25 43
271 923 8
814 615 1
566 574 26
725 163 6
324 8 33
431 992 12
619 881 31
383 755 2
180 805 7
262 901 3
425 639 10
508 637 37
604 258 47
572 467 13
278 515 31
431 765 39
869 40 2
384 193 1
231 920 15
22 510 7
274 493 43
934 116 49
267 468 28
72 818 30
291 338 28
829 801 48
674 348 26
698 658 17
324 144 47
776 751 30
133 526 1
1000 672 22
614 178 15
686 744 9
52 602 16
883 654 40
777 365 23
754 28 13
617 652 9
550 95 39
864 62 13
954 542 38
324 114 31
695 888 24
515 653 36
191 15 24
540 39 3
125 790 41
178 827 37
864 935 15
797 537 36
612 670 46
263 350 17
231 365 2
89 68 38
184 158 37
130 963 13
946 718 15
547 417 13
868 8 15
770 376 8
230 788 13
12 917 17
743 488 12
188 114 49
275 298 25
349 558 21
29 344 26
586 922 31
116 934 35
134 869 14
178 940 47
767 999 8
64 478 43
908 831 31
732 117 9
33 755 48
998 944 7
911 215 48
163 746 9
52 730 43
911 509 7
918 788 14
43 897 16
622 165 11
9 960 42
631 426 1
465 456 33
219 599 4
500 143 16
92 664 29
46 306 40
613 917 46
309 498 47
574 464 32
660 867 35
42 41 22
101 299 50
900 320 26
505 748 43
650 55 6
273 45 45
170 702 47
958 841 17
656 68 18
732 144 18
435 542 33
430 637 26
640 410 33
133 517 25
934 33 32
765 112 20
714 870 11
947 935 23
272 561 28
784 825 50
609 269 41
241 987 45
668 618 15
272 807 10
910 961 14
530 126 21
712 611 2
398 902 17
912 136 15
408 719 11
507 184 22
61 338 37
172 814 13
550 63 46
764 289 10
925 974 6
936 384 10
690 564 14
917 776 6
144 169 46
817 703 11
21 690 46
270 705 15
654 622 25
910 555 1
729 395 12
392 182 5
468 753 45
673 276 50
764 539 41
853 326 38
278 730 10
524 295 40
419 424 3
227 971 35
77 287 6
37 671 21
518 501 3
348 698 6
711 415 34
891 311 49
47 758 23
613 128 45
592 966 37
375 905 44
228 269 38
711 983 21
450 949 22
442 661 34
779 543 20
366 380 10
5 547 36
543 519 42
827 394 46
117 781 12
91 982 39
64 542 39
960 95 50
961 393 31
450 782 28
5 525 7
199 810 36
244 878 46
844 227 7
970 986 29
945 658 14
79 153 25
160 721 35
680 497 1
196 810 13
348 722 19
910 314 40
728 422 5
747 355 26
458 640 49
306 71 5
900 113 15
784 523 22
313 790 1
480 573 36
986 486 3
438 851 16
194 340 50
522 200 12
611 153 25
265 312 17
203 726 33
132 219 8
458 232 1
928 781 17
422 772 25
158 67 13
329 814 14
239 937 42
642 284 14
516 577 42
351 77 50
175 775 23
264 840 34
982 190 45
85 466 19
527 255 22
291 889 22
411 37 37
513 615 6
607 619 18
367 643 11
734 579 27
115 471 32
250 603 41
996 492 22
238 770 33
618 563 8
155 671 37
491 486 13
645 556 44
274 99 15
757 184 31
413 411 45
715 808 33
818 791 44
112 398 21
16 366 17
381 243 7
443 61 18
743 614 28
96 154 26
911 142 43
103 509 26
749 225 13
664 311 38
981 227 37
446 781 2
16 407 37
334 113 9
841 355 23
870 959 22
951 287 29
238 701 37
249 127 23
971 176 26
740 227 44
412 680 34
904 330 48
656 465 43
371 284 40
525 428 22
391 344 46
167 327 21
508 739 2
510 316 34
829 499 48
277 808 25
84 367 9
537 839 48
333 624 6
906 411 37
362 968 46
824 865 40
650 68 36
724 362 26
395 256 46
373 493 46
903 195 40
94 957 26
455 234 46
56 892 23
574 608 12
726 607 14
109 592 15
211 313 48
520 509 41
252 419 40
502 670 15
644 948 28
696 926 14
133 342 39
865 882 36
656 797 44
8 749 43
615 899 14
836 947 40
720 21 25
578 73 12
604 78 30
327 772 21
301 778 27
86 275 12
546 471 23
770 474 45
708 189 28
236 684 5
739 336 4
520 780 14
132 179 21
258 696 33
103 977 10
18 682 15
203 778 15
101 485 45
63 963 1
474 281 50
774 239 9
328 589 40
745 300 4
822 960 36
900 42 5
900 624 44
567 462 15
590 64 8
308 657 18
739 116 14
993 970 13
575 188 32
776 560 28
212 609 48
240 283 41
639 835 2
273 1 40
467 303 33
628 335 10
967 841 30
293 767 32
52 716 30
784 501 36
269 310 15
506 712 7
950 497 18
235 271 10
190 753 13
526 153 50
290 911 14
704 451 44
746 144 38
684 532 23
230 378 20
835 843 7
679 963 1
469 332 28
882 205 20
703 776 4
620 955 6
31 758 27
318 777 34
792 217 18
737 825 14
907 319 29
756 644 30
153 110 6
255 726 11
103 382 29
322 561 8
872 696 5
23 284 12
385 275 47
606 318 24
324 811 6
589 816 22
997 535 2
57 624 14
36 789 13
448 996 48
585 944 8
16 921 19
989 852 13
443 739 34
314 276 39
47 800 22
434 179 22
81 220 33
908 872 38
578 105 42
185 702 34
668 666 48
966 247 26
886 128 17
414 837 27
181 74 42
704 275 23
438 428 5
270 179 24
871 105 1
337 426 21
864 334 32
230 486 19
591 428 37
837 541 25
346 666 3
822 110 32
71 504 28
378 384 23
526 523 20
869 938 15
233 493 5
654 393 23
318 910 7
919 468 48
601 633 44
792 263 30
473 915 29
252 572 2
671 176 7
556 899 17
628 570 46
796 904 43
519 664 7
232 883 49
526 649 50
937 890 12
452 82 22
596 710 38
949 692 38
972 544 41
428 594 30
407 202 26
57 87 45
391 704 2
668 934 30
510 264 33
7 738 36
567 534 44
495 468 34
983 810 20
883 312 50
2 649 44
773 184 2
607 687 45
959 696 28
310 688 28
267 101 8
991 314 1
636 956 17
780 334 28
385 769 26
261 336 32
985 18 25
256 290 16
923 962 4
24 653 11
269 539 4
354 634 6
271 358 30
283 793 12
496 283 6
498 842 34
550 638 32
482 592 49
443 342 49
737 783 11
306 719 36
916 286 38
508 275 41
442 148 41
20 607 5
291 302 43
350 509 42
455 728 31
521 41 31
140 600 7
602 3 29
45 669 5
15 368 20
538 22 34
300 494 31
698 923 50
987 309 9
73 824 40
461 971 15
726 792 19
31 862 33
340 469 43
348 872 25
73 108 26
782 71 23
771 999 34
186 881 11
519 482 41
771 368 10
602 930 42
484 596 42
141 249 48
19 883 25
194 685 4
606 119 44
812 214 17
104 14 33
788 328 24
920 323 20
554 230 36
686 179 50
238 21 13
289 311 24
618 656 38
900 231 8
721 967 26
518 22 37
189 351 31
82 59 1
788 625 38
204 369 31
57 600 36
326 805 10
356 894 7
623 323 44
626 730 29
672 207 36
72 104 38
841 937 4
521 277 37
663 387 35
151 193 16
121 387 4
583 229 12
675 689 3
805 158 22
782 344 12
230 189 36
455 502 42
852 127 38
75 397 37
765 380 13
386 934 37
237 296 23
527 756 19
229 582 32
806 827 22
682 784 19
95 577 26
845 337 37
551 554 47
779 849 38
123 446 13
800 501 30
674 334 35
481 353 37
754 194 12
768 232 37
967 278 26
724 312 17
383 344 13
211 286 23
202 878 5
542 504 30
324 440 13
661 424 33
383 135 43
24 306 11
921 299 20
69 382 24
30 525 43
80 965 37
491 998 12
680 232 30
552 549 12
704 686 8
167 576 18
327 805 15
41 511 33
395 806 34
989 758 29
597 28 35
134 414 32
505 355 23
200 621 50
27 580 21
702 296 24
290 277 31
551 11 34
730 346 31
685 116 33
988 222 7
641 375 23
159 428 31
159 753 11
47 687 34
453 135 33
546 360 25
339 394 1
724 598 42
315 607 9
400 634 18
81 318 5
339 740 6
696 677 6
763 177 43
380 207 37
173 726 40
814 71 23
602 125 40
330 406 18
644 32 11
714 785 16
243 863 16
122 680 33
70 384 47
67 385 49
855 513 26
570 720 15
934 615 42
143 41 44
649 901 24
626 20 34
327 345 23
96 713 27
469 240 19
950 395 7
433 345 36
861 148 34
937 629 27
